,Activity Id,Students Sets,Subject,Teachers,Room,SKS,Schedules
227,228,IS-03-02,23809 - ISA2213 - ANALISIS DAN PERANCANGAN SISTEM INFORMASI,MNP,KELAS,3,Schedule 3
115,116,EE-03-01,23325 - MAA2213 - MATEMATIKA TEKNIK 2,DMS,KELAS,3,Schedule 3
166,167,DS-01-01,23880 - DSB1224 - DATA WRANGLING,HMM,KELAS,2,Schedule 3
232,233,SE-02-01,23708 - SEA3293 - MANAJEMEN PROJEK PERANGKAT LUNAK,MSK,KELAS,3,Schedule 3
2,3,TE-02-02,23339 - TEA40A3 - KOMUNIKASI OPTIK,AAF,KELAS,3,Schedule 3
104,105,IT-03-02,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,DIB,LAB,3,Schedule 3
93,94,DB-01-02,23988 - DBB1243 - AKUNTANSI DASAR DAN BIAYA,DAU,KELAS,3,Schedule 3
90,91,TE-04-02,23189 - FEA1011 - PRAKTIKUM ALGORITMA DAN PEMROGRAMAN,BLM,LAB,1,Schedule 3
256,257,TE-03-02,23210 - FEA2223 - ELEKTROMAGNETIKA,NRR,KELAS,3,Schedule 3
294,295,IE-03-02,23581 - IEA2222 - ANALISA DAN PERANCANGAN KERJA,RDP,KELAS,2,Schedule 3
143,144,IT-04-01,23749 - SCA1024 - FISIKA DASAR  B,FZN,KELAS,3,Schedule 3
202,203,IF-01-02,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,KMD,LAB,3,Schedule 3
305,306,IT-02-01,23772 - ITA3253 - PEMROGRAMAN INTEGRATIF,RFM,KELAS,3,Schedule 3
45,46,CE-03-02,23265 - MAA2213 - MATEMATIKA TEKNIK 2,ARA,KELAS,3,Schedule 3
69,70,IS-03-04,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AWS,LAB,3,Schedule 3
211,212,IS-04-02,23801 - ISA1213 - SISTEM ENTERPRISE,LIA,KELAS,3,Schedule 3
277,278,SE-04-01,23684 - FIA1214 - ALGORITMA DAN STRUKTUR DATA,PNG,LAB,3,Schedule 3
309,310,IS-04-04,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,RGT,KELAS,3,Schedule 3
75,76,IT-04-02,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,LAB,3,Schedule 3
132,133,TE-02-01,23247 - TEA3211 - PRAKTIKUM ANTENA DAN PROPAGASI,FSA,LAB,1,Schedule 3
37,38,DB-01-01,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB,3,Schedule 3
269,270,TE-04-01,23182 - SCA1213 - FISIKA 2,ONI,KELAS,3,Schedule 3
80,81,IE-04-01,23462 - IEA1212 - MENGGAMBAR TEKNIK,BIA,KELAS,2,Schedule 3
212,213,CE-04-01,23150 - LAA1032 - BAHASA INDONESIA,LSH,KELAS,2,Schedule 3
33,34,IS-04-03,23795 - MAA1033 - TEORI PROBABILITAS,ANA,KELAS,3,Schedule 3
320,321,TE-03-01,23226 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,RMU,KELAS,3,Schedule 3
195,196,EE-02-01,23299 - EEA3223 - SISTEM TELEKOMUNIKASI,KHL,KELAS,3,Schedule 3
26,27,CE-02-01,23364 - CEA3223 - SISTEM OPERASI,ALF,KELAS,3,Schedule 3
189,190,EE-04-01,23273 - MAA1214 - KALKULUS 2A,KHG,KELAS,2,Schedule 4
161,162,IF-01-02,23920 - FIB1022 - KEWARGANEGARAAN,HAR,KELAS,2,Schedule 4
214,215,IE-04-02,23435 - LAA1032 - BAHASA INDONESIA,LSH,KELAS,2,Schedule 4
196,197,EE-02-01,23302 - EEA3221 - PRAKTIKUM SISTEM TELEKOMUNIKASI,KHL,LAB,1,Schedule 4
133,134,TE-02-01,23244 - TEA3213 - ANTENA DAN PROPAGASI,FSA,KELAS,3,Schedule 4
203,204,IS-03-04,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,KMD,KELAS,3,Schedule 4
185,186,EE-03-01,23342 - FEA2223 - ELEKTROMAGNETIKA,ISA,KELAS,3,Schedule 4
223,224,IT-03-03,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,MDF,KELAS,3,Schedule 4
210,211,IS-04-01,23801 - ISA1213 - SISTEM ENTERPRISE,LIA,KELAS,3,Schedule 4
264,265,CE-04-01,23204 - SCA1211 - PRAKTIKUM FISIKA 2,ONI,LAB,1,Schedule 4
237,238,IS-03-02,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NAS,KELAS,3,Schedule 4
63,64,IE-03-01,23577 - IEA2213 - PENELITIAN OPERASIONAL 2,ASA,KELAS,3,Schedule 4
284,285,IS-03-03,23811 - ISA2233 - REKAYASA PROSES BISNIS,RAS,KELAS,3,Schedule 4
373,374,TE-04-02,23191 - TEA1022 - PENGENALAN TEKNIK TELEKOMUNIKASI,TRI,KELAS,2,Schedule 4
228,229,IS-04-03,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,MNP,KELAS,3,Schedule 4
44,45,CE-03-01,23265 - MAA2213 - MATEMATIKA TEKNIK 2,ARA,KELAS,3,Schedule 4
39,40,DB-01-02,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB,3,Schedule 4
