Activity Id,Students Sets,Subject,Teachers,Activity Tags,Room,SKS
115,EE-02-01,23310 - EEA3231 - PRAKTIKUM SISTEM INSTRUMENTASI DAN PENGUKURAN,DMS,LAB.ELDAS,LAB.ELDAS,1
116,EE-03-01,23325 - MAA2213 - MATEMATIKA TEKNIK 2,DMS,FTEIC,KTT1.9,3
117,EE-04-01,23297 - EEA1022 - PENGENALAN TEKNIK ELEKTRO,DMS,FTEIC,KTT1.6,2
118,EE-01-01,23655 - FEA4023 - MANAJEMEN PROYEK,DNR,FTEIC,KTT2.11,3
119,IE-04-01,23461 - IEA1032 - PENGETAHUAN LINGKUNGAN,DNR,FTEIC,KTT2.13,2
120,TE-03-01,23317 - TPA3022 - KEWIRAUSAHAAN,DNR,FTEIC,KTT2.1,2
121,TE-03-02,23317 - TPA3022 - KEWIRAUSAHAAN,DNR,FTEIC,KTT1.2,2
122,CE-03-01,23246 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,EDS,FTEIC,KTT2.11,3
123,CE-03-01,23259 - FEA2214 - ELEKTRONIKA,EDS,FTEIC,KTT2.7,2
124,CE-03-01,23259 - FEA2214 - ELEKTRONIKA,EDS,FTEIC,KTT2.6,2
125,CE-03-02,23246 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,EDS,FTEIC,KTT2.9,3
126,CE-03-02,23259 - FEA2214 - ELEKTRONIKA,EDS,FTEIC,KTT1.14,2
127,CE-03-02,23259 - FEA2214 - ELEKTRONIKA,EDS,FTEIC,KTT1.8,2
128,IT-03-01,23758 - ITA2213 - INTERAKSI MANUSIA DAN KOMPUTER,FRH,FTIB,KTT2.8,3
129,IT-03-02,23758 - ITA2213 - INTERAKSI MANUSIA DAN KOMPUTER,FRH,FTIB,KTT2.4,3
130,IT-03-03,23758 - ITA2213 - INTERAKSI MANUSIA DAN KOMPUTER,FRH,FTIB,KTT2.4,3
131,TE-01-01,23340 - TEA40B3 - REKAYASA RADIO,FSA,FTEIC,KTT2.1,3
132,TE-01-02,23337 - FEA4042 - METODE PENELITIAN DAN PENGEMBANGAN,FSA,FTEIC,KTT2.8,2
133,TE-02-01,23247 - TEA3211 - PRAKTIKUM ANTENA DAN PROPAGASI,FSA,LAB.PSD,LAB.PSD,1
134,TE-02-01,23244 - TEA3213 - ANTENA DAN PROPAGASI,FSA,FTEIC,KTT1.7,3
135,TE-02-02,23247 - TEA3211 - PRAKTIKUM ANTENA DAN PROPAGASI,FSA,LAB.PSD,LAB.PSD,1
