,Activity Id,Students Sets,Subject,Teachers,SKS,Color
167,168,IT-02-01,23770 - ITA3273 - PEMBELAJARAN MESIN,HMM,3,6
168,169,IT-02-01,23854 - ITA40A3 - PENGOLAHAN CITRA DIGITAL,HMM,3,7
169,170,IT-02-02,23854 - ITA40A3 - PENGOLAHAN CITRA DIGITAL,HMM,3,4
170,171,DS-01-01,23875 - DSB1213 - KALKULUS 2,HNF,3,4
171,172,IS-04-01,23795 - MAA1033 - TEORI PROBABILITAS,HNF,3,5
172,173,IS-04-02,23795 - MAA1033 - TEORI PROBABILITAS,HNF,3,1
173,174,SE-04-01,23682 - MAA1223 - KALKULUS 2B,HNF,3,6
174,175,EE-04-01,23300 - LAA1032 - BAHASA INDONESIA,HRM,2,8
175,176,TE-04-01,23187 - LAA1032 - BAHASA INDONESIA,HRM,2,9
176,177,TE-04-02,23187 - LAA1032 - BAHASA INDONESIA,HRM,2,6
177,178,IS-03-01,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,HWM,3,5
178,179,IS-04-03,23801 - ISA1213 - SISTEM ENTERPRISE,HWM,3,7
179,180,IS-04-04,23801 - ISA1213 - SISTEM ENTERPRISE,HWM,3,8
180,181,EE-03-01,23329 - FEA2214 - ELEKTRONIKA,IFA,2,7
181,182,EE-03-01,23329 - FEA2214 - ELEKTRONIKA,IFA,2,8
182,183,EE-02-01,23294 - EEA3213 - SISTEM TENAGA ELEKTRIK,ISA,3,10
183,184,EE-02-01,23298 - EEA3211 - PRAKTIKUM SISTEM TENAGA ELEKTRIK,ISA,1,11
184,185,EE-02-01,23399 - EEA30C3 - ELEKTRONIKA DAYA,ISA,3,12
185,186,EE-03-01,23342 - FEA2223 - ELEKTROMAGNETIKA,ISA,3,4
186,187,CE-04-01,23192 - MAA1214 - KALKULUS 2A,KHG,2,1
187,188,CE-04-01,23192 - MAA1214 - KALKULUS 2A,KHG,2,2
188,189,EE-04-01,23273 - MAA1214 - KALKULUS 2A,KHG,2,3
189,190,EE-04-01,23273 - MAA1214 - KALKULUS 2A,KHG,2,4
190,191,IE-04-01,23430 - MAA1214 - KALKULUS 2A,KHG,2,5
191,192,IE-04-01,23430 - MAA1214 - KALKULUS 2A,KHG,2,6
192,193,IE-04-02,23430 - MAA1214 - KALKULUS 2A,KHG,2,7
193,194,IE-04-02,23430 - MAA1214 - KALKULUS 2A,KHG,2,8
194,195,EE-01-01,23654 - FEA4054 - TUGAS AKHIR,KHL,4,7
195,196,EE-02-01,23299 - EEA3223 - SISTEM TELEKOMUNIKASI,KHL,3,3
196,197,EE-02-01,23302 - EEA3221 - PRAKTIKUM SISTEM TELEKOMUNIKASI,KHL,1,4
197,198,EE-02-01,23391 - FEA4042 - METODE PENELITIAN DAN PENGEMBANGAN,KHL,2,5
198,199,EE-03-01,23334 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,KHL,3,1
199,200,EE-03-01,23338 - FEA2021 - PRAKTIKUM PENGOLAHAN SINYAL DIGITAL,KHL,1,2
200,201,EE-03-01,23347 - MAA2013 - PROBABILITAS DAN STATISTIK,KHL,3,6
201,202,IF-01-02,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,KMD,3,1
202,203,IF-01-02,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,KMD,3,3
203,204,IS-03-04,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,KMD,3,4
204,205,IS-03-04,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,KMD,3,5
205,206,IT-02-01,23771 - ITA3233 - DATA WAREHOUSE,KMD,3,2
206,207,IT-02-02,23771 - ITA3233 - DATA WAREHOUSE,KMD,3,6
207,208,IS-03-02,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,LIA,3,1
208,209,IS-03-03,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,LIA,3,2
209,210,IS-03-04,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,LIA,3,6
210,211,IS-04-01,23801 - ISA1213 - SISTEM ENTERPRISE,LIA,3,4
211,212,IS-04-02,23801 - ISA1213 - SISTEM ENTERPRISE,LIA,3,3
212,213,CE-04-01,23150 - LAA1032 - BAHASA INDONESIA,LSH,2,3
213,214,IE-04-01,23435 - LAA1032 - BAHASA INDONESIA,LSH,2,7
214,215,IE-04-02,23435 - LAA1032 - BAHASA INDONESIA,LSH,2,4
215,216,IS-04-01,23798 - LAA1032 - BAHASA INDONESIA,LSH,2,1
216,217,IS-04-02,23798 - LAA1032 - BAHASA INDONESIA,LSH,2,2
217,218,IS-04-03,23798 - LAA1032 - BAHASA INDONESIA,LSH,2,6
218,219,IS-04-04,23798 - LAA1032 - BAHASA INDONESIA,LSH,2,5
219,220,IF-01-01,23923 - IFB1223 - KALKULUS 2,MDF,3,1
220,221,IF-01-02,23923 - IFB1223 - KALKULUS 2,MDF,3,2
221,222,IS-03-05,23812 - FIA2014 - PERANCANGAN  BASIS DATA,MDF,3,3
222,223,IS-03-05,23812 - FIA2014 - PERANCANGAN  BASIS DATA,MDF,3,4
223,224,IT-03-03,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,MDF,3,5
224,225,IT-03-03,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,MDF,3,7
225,226,IS-01-01,23830 - FIA4022 - METODE PENELITIAN DAN PENGEMBANGAN,MNP,2,5
226,227,IS-03-01,23809 - ISA2213 - ANALISIS DAN PERANCANGAN SISTEM INFORMASI,MNP,3,2
227,228,IS-03-02,23809 - ISA2213 - ANALISIS DAN PERANCANGAN SISTEM INFORMASI,MNP,3,3
228,229,IS-04-03,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,MNP,3,1
229,230,IS-04-03,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,MNP,3,4
230,231,SE-01-01,23715 - TPA3022 - KEWIRAUSAHAAN,MSK,2,4
231,232,SE-01-01,23712 - FIA4022 - METODE PENELITIAN DAN PENGEMBANGAN,MSK,2,5
232,233,SE-02-01,23708 - SEA3293 - MANAJEMEN PROJEK PERANGKAT LUNAK,MSK,3,3
233,234,SE-03-01,23697 - SEA2263 - REKAYASA APLIKASI INTERNET,MSK,3,2
234,235,SE-04-01,23681 - MAA1013 - MATRIK DAN VEKTOR,MSK,3,1
235,236,IS-02-01,23822 - ISA3213 - KEAMANAN SISTEM INFORMASI,NAS,3,2
236,237,IS-02-02,23822 - ISA3213 - KEAMANAN SISTEM INFORMASI,NAS,3,6
237,238,IS-03-02,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NAS,3,4
